nombre	count(i.nombre)
FIRAC PLUS TAB 125MG/10MG	5
ULTRAVIST FC 50 ML AL 76.9%	5
MASCARILLA ADULTO 3 EN 1 001203	5
ESTUDIO TRANSOPERATORIO	5
BD INSYTE 18GAX116IN (13 MMX30 MM(1-1/4	5
PLUMA P/CIR -TWIN TIP SURGEON'S PEN-	5
GLUTAPACK-R SOB 15G	5
GUANTE ESTERIL GRANDE 0435200	5
RIOPAN GEL SOB 80MG/10MG/ML 10ML	5
URETEROSCOPIO RIGIDO 7FR (USO)	5
SONDA FOLEY 2 VIAS 14 FR 5CC 25133	5
GUIA CORRECAM RECT RPC038145-0 038'X145	5
GONADOTROFINA FRACCION BETA	5
FUCEROX FCO AMP 750MG/5ML	5
EQUIPO P/ENEMA EVACUANTE 2562	5
ENEMA FOSFATO	5
LIBERTRIM CPR 200MG	5
KETOSTERIL. TAB	5
CORDARONE TAB 200MG	5
CIRUGIA MAYOR 3 HRS CIR	5
ENZIMAS CARDIACAS	5
STERI STRIP 6.0 X 4.8 W 8512	5
PINADRINA AMP 1MG/ML	5
TC MC UNA REGION	5
CANULA YANKAHUER C/VALV. SUCC. 40102	5
CARNOTPRIM AMP 10MG/2ML	5
FLUCONAZOL CAP 100 MG	5
KYTRIL AMP 3MG/3ML	5
BENSITRAK AMP 2MG/ML 2.5ML	5
SENOKOT F TAB 374MG	5
TUBO ESTERIL PARA SUCCION 5X5/6	5
AMARYL XM 4MG/850MG TAB	5
CEDAX CAP 400MG	5
FLONORM TAB 200MG	5
CONO P/OTOSCOPIO 2.75MM WA52432-U BOX	5
SUPRADOL TAB SUBL 30MG	5
CARGO USO DE CUBICULO TERAPIA INTENSIVA	4
JERINGA DESECHABLE 60 ML. 309663	4
SPIRIVA RESPIMAT SOL P/INHA 0.226MG/ML	4
CATETER VEN CENT 3 L 7 F 20 CM CS15703E	4
TEGADERM 1624 6 X 7 CM 1624	4
ELECTRODO REPOSO P/PRUEBA ECG. 30807732	4
VENDA ELASTICA 15 CM X 5 MT. 13008	4
MIDAZOLAM AMP 15MG/3ML	4
MASC DE ALTA CONCENTRACION NO/REH 40106	4
NORFENON TAB 150MG	4
CIPROFLOXACINO TAB. 500 MG	4
TOPAMAX TAB 25MG	4
TOALLA REMOVEDORA P/STOMAS 037443	4
PANTOPRAZOL 40 MG. TAB. FGI	4
SERVICIO PARA URETEROSCOPIA FLEXIBLE	4
URETEROSCOPIO RIGIDO 9 5 FR (USO)	4
CORPOTASIN CL TAB EFERV 10MEQ	4
BOLSA ALIMENTACION 1500 ML 3925	4
SENOKOT TAB 187MG	4
GABAPENTINA 300 MG CAP	4
AZUL PATENTE AMP C/2ML	4
NATURALAG LUB UNG TUB 3.5G	4
PANCLASA AMP 40MG/0.04MG/2ML	4
PLASMAFERESIS	4
ZAPEX 30 MG. TABLETAS	4
BENSITRAK 2MG/ML 5ML AMP 4009951	4
GUANTE ESTERIL MEDIANO 0435100	4
AVAPENA AMP 20MG/2ML	4
SALA DE RECUPERACION 1 HR UCE	4
GUIA SENSOR 035X150 DF C/5 M0066703081	4
SIRDALUD TAB 2MG	4
USO DE TIJERA LAPAROSCOPICA ACE36P	4
JERINGA DESECHABLE 20 ML S/A 302562	4
HUMULIN R FCO AMP 100UI/ML 10ML	4
ALEVIAN-DUO 100/300 MG CAP	4
DEXTROSA AL 5% DE 1000 ML 86	4
ASOFLON 0.4 MG CAP	4
LAPIZ ELECTROCIRUGIA RF-FT3000S	4
MICROCYN 60 FCO.DE 240ML.	4
BISTURI ARMONICO (USO)	4
USO DE OXIGENO UTI	4
ENDOLOOP LIG. VICRYL END EJ10C	4
PERFIL SMA-12	4
HIGLOBIN 10 GR	4
CONRAY 60% DE 30 ML C/10	4
FLAGYL SOL INY 500MG/100ML	4
SONDA ENDOTRAQUEA C/GBO 65 MM 100/199/06	4
CIRUGIA MAYOR 1 HR O FRACCION UCE	4
RANISEN AMP 50 MG/2 ML	4
MEDIA TED GRANDE-LARGA AL MUSLO 38108	4
TEGADERM PAD. 3584 6X10 CM	4
ULTRASNAP P/RUHOF ATP 4024074	4
MICROBOMBA DES.AERONET ADA T A. AGAS3300	4
ELECTRODO D/REPOSO ECG FAST TRACE	4
PRUEBA DE COMPATIBILIDAD	4
EQUIPO DIALISIS CONTINUA FRESENIUS	4
FILTRO P/BACTERIAS 1851MX	4
BIOPSIA ENDOSCOPICA (SEGUN SITIO)	4
SIFROL ER 1.5 mg TAB	4
LIPITOR DUO TAB 80 MG	4
BENADRYL AMP 50MG/ML	4
HOJA P/BISTURI 10 371230	4
CONECTOR METALICO P/NEBULIZADOR CAT. 400	4
CONECTOR NIPLE CAT. 1840MX	4
NAVAJA PARA CIRUJIA GENERAL 4406	4
IPRIKENE PVO SOB 3G	4
USO DE CISTOSCOPIO S/VIDEO (CITOSCOPIA D	4
XUZAL TAB 5MG	4
SET CAT DOBLE J SILIC 6FRX24CM 133624	4
SERVICIO PARA URETEROSCOPIA FLEXIBLE SIM	4
CANASTILLA NITINOL19FRX120CM M0063901050	4
TEGADERM 9 X 25 CM -PAD CAT.3591	4
TRICLOFEN 120 ML	4
PAQAL ADULTO S/RESORTE	4
TUBO CONECTOR P/02 1302 MX	4
ELECTROCARDIOGRAMA CON INTERPRETACION	4
LLAVE DE 3 VIAS CON EXTENSION B1423	4
SET J UNIVERSA SOFT 6FRX 24 CM USH-624	4
GAMAGRAMA DE GANGLIO CENTINELA	3
TRAYENTA DUO 2.5 MG/ 850 MG TAB C/60	3
COPROLOGICO	3
METILPREDNISOLONA FCO. AMP. 500 mg/4 ml.	3
CARGO ADICIONAL EST URG Y FIN DE SEM HEM	3
CANULA GUEDEL 3 8 CM 1 NARANJA 330008	3
MICRO CLAVE 13CM 2V. 4023633	3
CAMISA URETERAL 12FRX35CM	3
INFLUENZA DETECCION PRUEBA RAPIDA	3
AGUA PURIFICADA DE 330 ML	3
SYDOLIL TAB 1/50 MG	3
GUANTE ESTERIL 8 1/2 2D7285	3
ANTADONA AMP 0.5MG/5ML	3
CAPERUZA PROTECTORA 394970	3
CLARITYNE TAB 10MG	3
LASER DONIER (USO)	3
HIDROCORTISONA FAM 500MG.	3
MONITOR BIS (USO)	3
RELAZEPAM AMP 10 MG/ 2 ML	3
RESONANCIA MAGNETICA SIMPLE 3RA REGION	3
U S TRANSVAGINAL	3
HOJA P/BISTURI 11 371231	3
DURA PREP SOL. QUIRURGICA 6 ML 8635	3
GUANTE ORTOPEDICO 8	3
RADIOGRAFIA TRANSOPERATORIO CADA PROYECC	3
KIT INTEGRAL P/CIR UNIVERSAL 04-902111	3
LANTUS SOLOSTAR DISP PRE 100 UI/ml	3
FOSFOCIL CAP 500MG	3
ZOFRAN TAB 8MG	3
AXOFIN JBE FCO 2G 120ML	3
HOJA LARING GLIDESCOPE ADULTO #4 S01-09-	3
AMILASA Y LIPASA	3
EQUIPO DE GAMASONDA (USO)	3
TRADOL CAP 50MG	3
BICARNAT FCO AMP 7.5% 50ML	3
BOMBA PCA (USO)	3
CIRCUITO PARA VENTILACION EVACUA RT380	3
ENDOZIME INTRUSPONGE FLEX 4MMX240CM 4013	3
ATORVASTATINA TAB 20MG	3
FOSFOCIL FCO AMP 1G/10ML IV	3
RELACUM AMP 50MG/10ML	3
CISTOSCOPIO (USO)	3
HEMODIALISIS URGENTE EN TERAPIA INT	3
VICRYL 1-0 CT-1 J340H	3
CANULA NASAL ANATOMICA CURVO CRUSH (HOSP	3
GAS ANESTESICO 1 HORA UCE	3
EQUIPO TUR EN Y P/ IRRIGACION 2C4041	3
AVAPENA TAB 25MG	3
TEGADERM IV PEDIATRICO 6.5X7CM 1683	3
SONDA FOLEY 16FR 30CC	3
R M COLUMNA LUMBAR	3
ORTOPSIQUE AMP 10MG/2ML	3
SEDA P.H. 3-0 S/A SA84T	3
RAPIX AMP 30MG/2ML	3
PARACETAMOL 500 MG TAB	3
BATA CON MANGAS DESECH PNM 004	3
AMIKACINA AMP.500 MG.2ML	3
TEGADERM PAD 3586 9 X 10	3
BROSPINA 0.3 MG/ML	3
BUFIGEN AMP 10MG/ML	3
VENOFERRUM AMP 100MG/5ML	3
ATROVENT SOL FCO P/NEB 250MCG/ML 20ML	3
VENTILACION NO INVASIVA	3
GUANTE ESTERIL DE NITRILO # 8	3
DICLOPISA AMP 75MG/3ML	3
DISPOSITIVO DE FIJACION TUBO END 9789	3
METFORMINA TAB 850MG FGI	3
COMODO DESECHABLE ORTOPEDICO 4665	3
AGUA DE IRRIGACION 500 ML QX	3
ELECTRODO PEDIATRICO P/MONITOREO 2248	3
SOPORTE P/LINEA VENOSA PEDIATRICO 29970	3
VICRYL*VLT PLUS 3-0 70CM 1-SH XYVCP316H	3
METOCLOPRAMIDA TAB 10MG	3
CLORURO DE SODIO 100 ML 1547	3
PROLENE 1-0 CT-1 8424T	3
MASCARILLA LARIN.DESECH.#4 321400000	3
SONDA NELATON ROJA 18 FR 492066	3
HOJA P/BISTURI 22 371236	3
CHLORAPREP DE 10.5 ML TINTE NARANJA 2617	3
VICRYL 3-0 H SH J316H	3
PROXIMATE GRAPA ANCHA PMW35	3
PGA 1 5/8 CIRAHUSAD LONG 70CM SGH2698	3
OLICLINOMEL N4 BOLSA 1000ML	3
KABIVEN CENTRAL 1540ML/1400KCAL	3
MONOCRYL 4-0 PS-2 Y496G	3
TROPONINA 'T'	3
EXTENCION DE OXIGENO DE 4 MT 7007	3
SERVICIO INTEGRAL POR USO DE LAPAROSCOPI	3
PROCTOACID UNG TUB 5G/G/100G 50G	3
MONOCRYL 3-0 PS-1 Y936H	3
ARCO DE FLUOROSCOPIA (USO)	3
FLEBOTEK INFUSOMAT SPACE ESTANDAR 400564	3
DUODERM E.T. 7.5 X 7.5 CM 187901	3
AVELOX TAB 400MG	3
SERVICIO PARA URETEROSCOPIA SEMIRIGIDA	3
EQUIPO P/VENOPUNCION AD REGULAR VEN-001-	3
ELEQUINE TAB 500MG	3
MAQUINA DE ANESTESIA 1 HR (USO) UCE	3
KETOROLACO TAB 10MG	3
LINER DESC 2.5LT MEDELA 077.0086	3
DENVAR CAP 400MG	3
VICRYL PLUS VLT 1 70 CM 1AGCT VCP341H	3
SONDA GASTRO-LEVIN #8 10FR	3
PARCHE OCULAR OPTICLUDE 1539	3
ACIDO POLIGLICOLICO 1 75 CM GH2698	3
LLAVE 3 VIAS C/ EXTENSION	3
COLUMNA LUMBAR (2 PROYECCIONES)	3
MICROLAX SUSP ENEMA 90MG/9MG/ML 5ML	3
MASCARILLA SUPRAGLOTICA I-GEL#4 IN8204 I	3
UROTAC	3
PROFENID AMP 100 MG/2ML IM	3
GAS ANESTESICO 1/2 HORA UCE	3
CAPTOPRIL TAB. 25 MG FGI	3
COLMESDANT FCO AMP 150MG/2ML	3
AMK AMIKACINA AMP 100MG/2ML	3
KIT ANGIOGRAFICO C/VANDEJAS K12T-03536	3
DRENAJE BLAKE 15FR C/TROCAR CODIGO 2229	2
EUTIROX 50 MCG TAB	2
HESTAR FCO 6G/100ML 500ML	2
CONECTOR NEUMATICO EXTERIOR 750171130204	2
MONOCRYL 4.0 Y 426	2
UNIVAL SUSP 1GR/5ML FCO 230ML	2
NEO-MELUBRINA AMP 2.5G/5ML	2
DISCOS COMPACTOS CD.R80 700MB-80MIN	2
TRANSDUCTOR MX9604A	2
DERECHO DE SALA Y TIEMPO FLUOROSCOPIA 1H	2
IZADIMA FCO AMP 1G IV	2
PEPTIDO NATRIURETICO TIPO B	2
ACIDO URICO	2
CLOPIDOGREL TAB 75 MG	2
KETOROLACO -TRAMADOL 10 MG 25 MG AMP	2
DIPRIVAN FCO AMP 1G/100ML	2
ELECTROMIOGRAFIA NEU	2
KEPPRA TAB 500MG	2
PROSTIGMINE AMP 0.5MG/ML	2
NEOSPORIN DERMICO UNG TUB 30G	2
PREDNISONA 5mg TAB	2
TERMOMETRO DIGITAL CITIZEN CT-461	2
TRIMEBUTINA TAB 200MG	2
QUIMICA SANGUINEA (5) LAB	2
MASCARILLA LARIN.DESECH.#5 321500000	2
SOLUCION CS-C AMP 17.7% 10ML	2
CATETER VENOSO CENTRAL 2LUMEN 4FR 8 CM C	2
INFUSOR 7 DIAS 0.5 ML/HR C1082	2
TIEMPO DE SANGRADO DE IVY	2
BOLSA DRENABLE TRANSP TANDEM 44 MM 3802	2
PINZA DE BIOPSIA 280CM NEO222G BLUE SERV	2
USO DE OXIGENO APR	2
VALIUM TAB 10MG	2
TRAYENTA DUO TAB 2.5MG/1000MG	2
LIDOCAINA FCO 2% 50ML	2
CANULA GUEDEL 3 8 CM 1NARANJA 330008	2
VICRYL 2-0 CT-10 J345H	2
BUVACAINA PESADA AMP. 15 MG./3ML.	2
BIOSYN 3/0 19 MM 3/8 75 CMSM5679	2
CLORURO DE SODIO 3000 ML 7127	2
TAFIROL TAB 1G	2
CANASTILLA ESCAPE1.9R/120CM M0063902010	2
PINZA FCP 9-PIN CURVE E01-00-915000PK	2
MEDIA TED A LA RODILLA CAT. 38101 MED	2
USO DE ELECTROCAUTERIO MONO-BIPOLAR	2
GELFOAM	2
DERMALON 2S0 CS13 175651	2
KIT C/JERINGA PRELL. 320/100 ML OPTIRAY	2
CATGUT CROMICO 3-0 SH G122T	2
LACTULAX JBE FCO 10G/15ML 250 ML.	2
MULTISTIX TIRA REACTIVA	2
ULTRASONIDO VASCULAR (USO)	2
INHEPAR FCO AMP 1000UI/ML 1ML	2
DERECHO DE SALA Y TIEMPO FLUOROSCOPIA 1	2
MEDIA TED A LA RODILLA CAT. 38102 GDE	2
CONRAY 60 / 150 ML	2
RESERVORIO 300 ML	2
RANITIDINA TAB 150MG	2
SUSPENSORIO GRANDE	2
RIOPAN GEL FCO 250ML	2
ZYPREXA TAB 5MG	2
ELECTRODO BLADE COATED EDGE E1450-G	2
ANTIGENO CA 19-9	2
NULYTELY SOB PVO 110.1G	2
SONDA ENDOTRAQUEA C/GBO 75 MM 100/199/07	2
LLAVE DE 3 VIAS SIN EXTENSION B1534-IL	2
RECOLECTOR FLUIDOS TERAPIA VAC M8275058	2
INTERFACE MASC.NASAL ADULTO MED OPT844	2
GUANTES PLOMADOS No. 75 M0067051031	2
BOLSA DESC. CRD. FLEX 1000	2
BOQUILLO CON FILTRO P/ESPIROM 4010	2
CUERDA GUIA J 035X150 J3FCS150-035	2
BANDA HEMOSTATICA XX*RF06	2
USO DE CUBICULO DE OBSERVACION 1/2 ADIC	2
INSULINA HUMANA ACC. RAP100R10MLGI	2
NORVAS TAB 5MG	2
LANTUS FCO AMP 3.64MG/ML10ML	2
COLANGIORESONANCIA MAGNETICA	2
RECOFOL 20 MG/ML FCO. 50 ML.	2
PROLENE* BLUE 0 75CM SH 8834T	2
PROTEINAS TOTALES EN ORINA PERIODICA	2
TACROLIMUS	2
AGUJA ESTERIL DESECHABLE 25 X 16 2572	2
DALACIN C AMP 300MG/2ML	2
SISTEMA SUCCION CERRADO 16 FR	2
LOSEC A-20 CAP 20MG	2
CEFTRIAXONA FAM 500 IV	2
ATROPISA AMP. 1MG/1ML.	2
SEDA N.A. 1-0 SH K834H	2
ONICIT FCO AMP 0.05MG/ML 5ML	2
TIEMPO DE COAGULACION	2
SANGRE OCULTA EN HECES	2
EQUIPO DE ENDOSCOPIA	2
DIFLUCAN CAP 150 MG	2
PERFIL PREOPERATORIO VI	2
SEDA P.H. 1 MH O CT-1 K845H	2
ATENCION EN URGENCIAS (SENTIDA)	2
VENDA MALLA RETELAST 3 CM	2
ESPACIADOR PEDIATRICO	2
PREMIUM SURGICLIP 9.0 134046	2
FUNDA DE CAMARA PLEGADA 040115-01	2
LASER LUMENIS HOLMIUM 20 WATTS	2
9F365-80XHAP CIRCUITO UNIVERS. ANESTESIA	2
SONDA NELATON TRANSPARENTE 14FR	2
PERFIL MEDICO XXI	2
KIT DE CURACION ISODINE TEGADERM IV	2
CULTIVO DE PUNTA DE CATETER	2
PROLENE 2-0 SC-26 8185T	2
FLEBOTEK INFUSOMAT 0-150	2
EQUIPO P/MONITOREO DE LC EXTERNO STDMLC	2
SIERRA MIDAS REX (USO)	2
SUPACIDE FCO AMP 40MG/10ML	2
LAPIZ INTERRUPTOR BASCULANTE E2516	2
CARGO USO DE HAB ESTANDAR (DIA)	2
GUIA DE LAMBRE DE .035 DE DIAM. 635413	2
SONDA FOLEY 18 FR 5 CC SILASTIC	2
DERMALON 2-0 1742-51 SCE-4	2
EXTENSION MICROVOLUMEN 536035	2
FISIOTERAPIA PULMONAR	2
BICARBONATO DE SODIO	2
TYGACIL FCO AMP 50MG	2
SONDA NELATON ROJA 14 FR 492041	2
IMATION FCO AMP 1G	2
KEPPRA FCO AMP 100MG/ML 5ML	2
COMBIVENT RESPIMAT	2
ANTIGENO CARCINOEMBRIONARIO	2
TOALLA OBSTETRICA	2
BALON EXTRA PRO XL12-15MM 4711 M00547110	2
VICRYL 2-0 H CT-1 J339H	2
CARGO ADICIONAL HORAS NO HABILES AYH	2
RECOLECTOR FLUIDOS TERAPIA VAC M8275063	2
GUIA HIDRO ACERO .035X145CM 01-145FS35	2
HEPORAX 2500 UI / 0.2 ML JGA PRELL	2
DERMALON 4-0 1742-31 SCE-4	2
LANCETA ACCU-CHEK SOFT	2
ULTRAVIST FCO 100 ML AL 76.9%	2
TERUMOCATANGP/5/BRACHIA4.0/1/100/RH*TI	2
MEDIA TED MEDIANA-LARGA AL MUSLO 38106	2
FLEBOTEK MEDIFIX	2
ELECTROCARDIOGRAMA DE URGENCIAS	2
LENTES DE PROTECCION ULTRADURA	2
MEZCLA ONCOLOGICOS ADULTO	2
POTASIO	2
TOXINA DE CLOSTRIDIUM DIFFICILE (A)	2
VENTOLIN SUSP. 17G 200 DOSIS	2
SELOPRES ZOK TAB LIB PROL 95MG/12.5MG	2
VENTILACION MECANICA EN ADULTOS	2
HEMOSTATICO COMP. 4-6FR CHICO DS624	2
LEVAMIN NORMO 10% SOL. FCO 500 ML	2
MASCARILLA LARIN.DESECH.#2 321200000	2
PERIOXIDIN FCO 200ML	2
SEDA P.H. 3-0 SH K832H	2
LYRICA TAB. 150MG	2
COPROPARASITOSCOPICO 1 MUESTRA	2
CIRUGIA MAYOR 4 HRS	2
ESTILETE 14 FR 85865	2
PROLENE 3-0 AG PS-1 P8663T	2
METAMIZOLSODICOTAB 500MG	2
AFRIN AD SPRAY FCO 10MG/20 ML	2
GLUCERNA SR LIQ LATA 237ML FRESA	2
METICORTEN TAB 5MG	2
SALA DE CORTA ESTANCIA	2
US FAST (URGENCIAS)	2
AGUJA ESTERIL DESECHABLE 21X32 2568	2
LECHE DE MAGNESIA SUSP FCO 8.5G 360ML	2
BIOPATCH 1.5 MM ANTIMICRO 44151	2
EXTENSION 1.0 ML 36'MICRO-VOL. RAD. CAT	2
ZYVOXAM TAB 600 MG	2
CATETER INTRAVENOSO 14 381267	2
MARCADOR P/PIEL #9550 SURGICAL	2
PREGABALINA TAB. 75 mg	2
ESPONJA GASA EST T28X24 10X10	2
VIDEO UROLOGIA (USO)	2
CIPROBAC FCO 400MG/200ML	2
DIPIRONA 2.5 MG AMP 5 ML	2
INST MULTIFIRE GIA 60 3.8 030676	2
DIMERO 'D' (DEGRADACION DE FIBRINA)	2
SOLUCION DX-5 5 % FCO 100 ML	2
TINCION DE GRAM	2
HIDROCORTIZONA AMP. 100MG	2
BIO-VAC 7MM MD1075	2
LYSOMUCIL SOL. 2% 120 ML	2
ESPACIADOR INFANTIL	2
ALFAFETOPROTEINA	2
TERBAC FCO AMP 1G/10ML IV	2
ESMERON FCO AMP 50MG/5ML	2
VITAFUSIN FCO AMP 5ML	2
NEURONTIN CAP 300MG	2
MAQUINA DE ANESTESIA CADA 30 MIN ADICION	2
ELECTROENCEFALOGRAMA POLIGRAFICO NOCTURN	2
MONOCRYL 4-0 RB-1 Y304H	2
ONDANSETRON TAB 8MG	2
BILIRRUBINAS	2
KIT ANGIOGRAFICO C/MANIFOLD 3 MX1030	2
PAQ.INTEGRAL HEMODINAMIA MEDPOL PAH00864	2
INTRODUCTOR RADIAL HIDRO RM*AF6J10SQW	2
VERAPAMILO 5 MG. AMP	2
SOLUCION MIXTA 500 ML 18	2
COPROCULTIVO	2
APOSITOALLEVYN HEEL 105 X 135 CAT 660076	2
FLEET FOSFOSODA JENG-LIM FCO 45ML	2
SONDA LEVIN 20 FR K-13	2
DORMICUM SOL.INY. AMP 15 MG / 3 ML	2
MINITRAN 18MG (5MG/24HRS)	2
MASCARA NASAL BITRAC 22MM SILICON L 313-	2
SONDA FOLEY DSILVER 16FR5CC2VIAS6051631C	2
TC TORAX (FASE SIMPLE Y C/CTE )	2
MINISPIKE FL LIQ PUN EST VAL 4550579	2
TRASLADO DE PACIENTE CON VENTILADOR	2
MEDIA TED AL MUSLO GDE-CORTA 3634LF	2
PROTEINA 'C' REACTIVA	2
NODESCRON FCO AMP 4MG/ML	2
BIOMICS SUSP. 100 MG. FCO. 100 ML.	2
PEDIALYTE UVA SOL FCO 500ML	2
SEDA N.1 T-12 K425H	2
MAQUINA DE ANESTESIA 4 HORAS (USO)	2
ELICUIS TAB 2.5 MG	2
PARACETAMOL JARABE FCO	2
KIT BLOQUEO ESPINAL 27 820 A1244-27	2
METOCLOPRAMIDA AMP 10 MG/ 2 ML	2
NEXIUM-MUPS TAB 40MG	2
MASTOGRAFIA CON MARCAJE	2
CAMARA DE HUMIDIFICACION AUTOLLENADO 180	2
MICROSCOPIO PENTERO (USO)	2
CIRUGIA NEURO 1 HR	2
MESA MAQUET(USO)	2
CHLORAPREP DE 3 ML CON TINTE NARANJA 261	2
MAQUINA DE ANESTESIA 1/2 HORA ADICIONAL(	2
CLORURO DE SODIO AL 0.9% 500 ML QX	2
NEO-MELUBRINA TAB 500MG	2
AGUA OXIGENADA FCO 110ML	2
SISTEMA DE LIMPIEZA Q4 CON CHG 6914	2
ACETYLCYSTEINE SOL. FCO. 30ML	2
APLICADOR/ESPACIADOR CON MASC ADULT	2
ANTIGENO CA 125	2
AMOFILIN AMP 250MG/10ML	2
COLANGIOGRAFIA ENDOSCOPICA AYH	2
ARZOMEBA FCO AMP 500/500MG	2
ESPONJA DE PLATA CHICA M6275098	2
CANASTILLA OPTIFLEX 1.3F/120 M0063903010	2
PINZA BIPOLAR (USO)	2
COMPRESOR ONE-TIME LR-OTE-N	1
LEAD EXTRACTION HEMOSTAT LR-SGH001	1
BIOPSIA RENAL (RINON) ( CON TINCIONES) H	1
CONECTOR EN T CON VALVULA 1743 HUDSON	1
VENTOLIN SOL P/NEB FCO 5MG/ML 10ML	1
TRANSAMINASAS (TGO Y TGP)	1
NITROGLICERINA FCO AMP 50 MG/10 ML	1
ALMOHADA RADIAL RR811	1
ANTI-CITOMEGALOVIRUS IgM	1
SONDA FOLEY SILASTIC 2V GLB 5 FR 16 0702	1
DEPURACION DE CREATININA	1
ELECTRODO P/REPOSO RED DOT TM P/EKG2330	1
GAMAGRAMA CARDIACO CON ISONITRILO	1
MASCARILLA LARINGEA SUPREME N.4 175040	1
ZINNAT FCO AMP 750MG/3ML	1
PERFIL LIPIDOS II (2)	1
PRESTACION DE SERVICIOS HOSPITALARIOS	1
MASCARA NASAL BITRAC 22MM SILICON M 313-	1
GERMISIN ESPUMA 120 ML	1
DOSIFICACION 4	1
AMIODARONA AMP 150MG/ 3ML	1
MIRCERA 100 MCG/0.3 CAJA	1
CEVALIN AMP 1G/10ML	1
PERFIL TORCH I (IgG)	1
MYFORTIC CAP 360 MG	1
CLORO-TRIMETON AMP 10MG/ML	1
SALA DE CIRUGIA MENOR FRACCION SUBSECUEN	1
MASCARILLA C/OLOR .2 1125	1
FILTRO INTERCAMB CALORHUMEDO ADUL MS-111	1
TAPER GUARD EVAC SIZE 7.5 18875	1
CATETERVENOSO 3 LUMEN 7 FR X 20 CM 25703	1
FLEBOTEK INFUSOMAT SPACE OPACO 4005466	1
MANGUERA DE GASOMETRIA 6004	1
ARTERINA FAM 20UI/ML	1
MERREM FCO AMP 500MG IV	1
ELEQUINE TAB 750MG	1
ENFAMIL S/LACTOSA PREMIUM PVO LAT 400G	1
DEXIVANT 60 MG.	1
R 2661 POLIPROP. CAL 0 1/2 G37 CAJA C/12	1
NULYTELY LIMA-LIMON 110.1 GR. SOBRES	1
CIRUGIA MAYOR 2 HRS UCE	1
JUEGO ROPA DESECHAB. P/ CABEZA Y CUELLO	1
U S CUELLO (TIROIDEO)	1
SPINOCAN 26	1
MICROCYN 60 FCODE 240 ML	1
TREDA TAB. 129/30 MG.	1
AGUJA ESTERIL DESECHABLE 21 X 32 2568	1
CULTIVO PARA HONGOS	1
ALMOHADILLA ROLLO (USO)	1
MYCOBACTERIUM TUBERCULOSIS DETECCION POR	1
ROCEPHIN IM FCO AMP 1G/3.5ML	1
APLICADOR AUTOM.DE CLIPS LIGAM. EL5 ML	1
UNAMOL CPR 5MG	1
MUCOSOLVAN CPR 30MG	1
CATETER URETERAL P/ABIERTA 5FR 020015	1
HIERRO SERICO Y CAPACIDAD DE FIJACION	1
COMODISEC MAX ESTAPA JUMBO	1
MELOX PLUS SUSP FCO 360ML	1
NIDO KINDER PVO. LATA 360 G.	1
ATIVAN TAB 1MG	1
SURGICEL FIBRILAR 1961	1
BOLSA COLECTORA DE ORINA PED. NINO	1
R M ENCEFALO	1
TOBRADEX SUSP OFT FCO GOT 5ML	1
TC MC DOS REGIONES	1
HISTIACIL NF AD JBE FCO 150ML	1
EXTRACT CALCULOS NITINOL 2.4FRX115C C.NC	1
100CC BULB SUCTION RESERV 2160	1
TC COLUMNA SIMPLE (COSTO POR REGION)	1
NORCURON AMP. 4 MG/1 ML	1
ROPICONEST S.I. 2 MG/ML 5 20 ML AMP	1
AGUJA P/ RAQUEA 26GX3 1/2 4729	1
DESECHO BIOLOGICO PEQUENO	1
NAVIGATOR11/13F/3.7/4.3/36CM M0062502020	1
GUANTES ESTERIL DE NITRILO #7 1/2	1
aposito OPSITE POST-OP DE 6.5 X 5 CM	1
T C ABDOMEN COMPLETO	1
GUANTE ESTERIL CHICO	1
NYLON ETHILON 3/0 SC-20 14503	1
FENODID INYECTABLE 5MG/10ML	1
FENODID INY 5 MG /10 ML	1
TC CRANEO SIMPLE	1
TRANSFERRINA	1
MONOCRYL VIOLETA 0 Y340H	1
VOLTAREN EMULGEL TUB 50 G	1
BOLSA RECOL ORINA 2000ML.153504	1
ULTRAVIST FCO 100 ML AL 62.3%	1
INTRODUCTOR 4FR RS*A40G07SQ	1
PROLENE 6-0 C-1 M8706T	1
PROPATEN CONICO 4-7X45CM INJERTO H460045	1
LINER DESC 1.5LT C/SOLID MEDELA 077.0084	1
TORAX OSEO 2 PROYECCIONES	1
TIJERA HARMONIC 18 CM WAVE 18S	1
PDS II VIOLETA 3-0 SH Z316H	1
COLCHON TERMICO (USO)	1
SEGUROS 3	1
MASCARILLA C/CONTROL ADULTO 40107	1
ELECTRODO AGUJA STAND. 2.84IMA/ENT ES38	1
ENTEREX IMX SOB C/123 G	1
SUTURA PDS VIOLETA 1CT-1Z341H	1
JOHNSONS TALCO 200GR NATURAL	1
BRONCHO-VAXOM INF GDO SOB 3.5 MG	1
DEPAKENE JBE FCO 250MG/5ML 120ML	1
AGUJA ESTERIL DESECHABLE 20 X 38 2566	1
LIGASURE NEW IMPACT LF4318	1
R2612-75 C.CROM. CAL2/0 1/2 R26MM 75CM 1	1
ESFINTEROTOMO M00584160	1
COLOCACION DE CATETER DE FLUROSCOPIA	1
ARGENTAFIL 1% CREMA TUB 30G	1
HEPATITIS A B C	1
MIRCERA JGA. 200mcg/3ml	1
LLAVE DE 3 VIAS CON EXTENCION B1423	1
MASCARILLA SUPRAGLOTICA I-GEL#5 IN8205 I	1
KITPOLARISUL6FX24CMC/SENSORM006192132080	1
