iddiagnostico	descripcion	codigo_cie9	codigo_cie10
1106	ULCERA DE ESOFAGO CON SANGRADO	53021 	NULL
1107	ROTURA TENDON PIE Y TOBILLO OTRA	72768 	NULL
1108	GASTRITIS ATROFICA	5351  	NULL
1109	PLACENTA PREVIA CON HEMORRAGIA	6411  	NULL
1110	ULCERA PEPTICA NO ESPECIFICADO CRONICA CON PERFORACION	5335  	NULL
1111	INFECCION HERIDA POSTRAUMATICA NCOC	9583  	NULL
1112	TERMINACION EMBARAZO (FETO)	7796  	NULL
1113	SINCOPE POR CALOR	9921  	NULL
1114	TENOSINOVITIS MANO Y MUÑECA OTRA	72705 	NULL
1115	FRACTURA ABIERTA DE COSTILLA	8071  	NULL
1116	ULCERA ESTOMAGO AGUDA CON HEMORRAGIA Y PERFORACION	5312  	NULL
1117	ECTROPION	3741  	NULL
1118	ARTRITIS INFECCIOSA NO ESPECIFICADO	7119  	NULL
1119	NEFRITIS Y NEFROPATIA NO ESPECIFICADO NO ESPECIFICADO	5839  	NULL
1120	CRYPTOCOCCOSIS	1175  	NULL
1121	OSTEOCONDROPATIA NO ESPECIFICADO	7329  	NULL
1122	INFECCION LOCAL PIEL Y SUBCUTANEO OTRA	686   	NULL
1123	LATIDO PREMATURO	4276  	NULL
1124	NEOPLASIA MALIGNA NO ESPECIFICADO	199   	NULL
1125	FRACTURA CARPO	814   	NULL
1126	DERMATOSIS OTRA	702   	NULL
1127	ANOMALIA CONGENITA APARATO DIGESTIVO OTRA	751   	NULL
1128	ARTROPATIA PSORIASICA	6960  	NULL
1129	ENFERMEDAD DE PARKINSON	332   	NULL
1130	DEFORMIDAD DEDO PIE ADQUIRIDA	735   	NULL
1131	NEURITIS O RADICULITIS BRAQUIAL NO ESPECIFICADO	7234  	NULL
1132	SINDROME CORONARIO INTERMEDIO	4111  	NULL
1133	AMENAZA ABORTO NO ESPECIFICADO	64000 	NULL
1134	REACCION AGUDA ESTRES	308   	NULL
1135	CARCINOMA IN SITU RECTO	2304  	NULL
1136	ANOMALIA CONGENITA LARINGE,TRAQUEA Y BRONQUIO	7483  	NULL
1137	SEROMA QUE COMPLICA PROCEDIMIENTO	99813 	NULL
1138	CATARATA NO SENIL	3660  	NULL
1139	HALLAZGO ANORMAL EXAMEN RADIOLOGICO MAMA	7938  	NULL
1140	DEFICIENCIA LONGITUDINAL TARSO METATARSO COMPLETA O PARCIAL	75538 	NULL
1141	COLITIS ULCEROSA PROCTITIS	5562  	NULL
1142	OBSTRUCCION URINARIA NO ESPECIFICADO	5996  	NULL
1143	SUPERVISION EMBARAZO NORMAL PRIMIPARA	V220  	NULL
1144	HIPEROSMOLARIDAD O HIPERNATREMIA	2760  	NULL
1145	DESPRENDIMIENTO RETINA CON DEFECTO RETINA	3610  	NULL
1146	ABSCESO GLANDULA SALIVAL	5273  	NULL
1147	EFECTO TARDIO LUXACION	9056  	NULL
1148	HERIDA DEDO PIE COMPLICADA	8931  	NULL
1149	HERIDA PIE SALVO DEDO COMPLICADA	8921  	NULL
1150	ROTURA CUERDA TENDINOSA CORAZON	4295  	NULL
1151	DIABETES MELLITUS CON OTRO COMA	2503  	NULL
1152	ADHERENCIA INTESTINO O PERITONEO CON OBSTRUCCION	56081 	NULL
1153	NEOPLASIA MALIGNA OJO	190   	NULL
1154	INSUFICIENCIA CORTICOADRENAL	2554  	NULL
1155	AUMENTO TAMAÑO GANGLIO LINFATICO	7856  	NULL
1156	NEOPLASIA MALIGNA RESPIRATORIA E INTRATORACICA OTRA	165   	NULL
1157	EPIGLOTITIS AGUDA	4643  	NULL
1158	ISQUEMIA CEREBRO TRANSITORIA NO ESPECIFICADO	4359  	NULL
1159	REFLUJO VESICOURETERAL	5937  	NULL
1160	LUXACION CERRADA HOMBRO ACROMIOCLAVICULAR	83104 	NULL
1161	NEOPLASIA MALIGNA HIPOFARINGE OTRA	1488  	NULL
1162	NEOPLASIA MALIGNA OROFARINGE	146   	NULL
1163	NEOPLASIA BENIGNA TEJIDO BLANDO TORAX	2154  	NULL
1164	ICTERICIA NO ESPECIFICADO	7824  	NULL
1165	VEGETACION ADENOIDEA	4742  	NULL
1166	NEOPLASIA MALIGNA COSTILLA,ESTERNON Y CLAVICULA	1703  	NULL
1167	ULCERA DUODENO CRONICA CON HEMORRAGIA	5324  	NULL
1168	PERFORACION VESICULA BILIAR	5754  	NULL
1169	POLIPO VAGINA	6237  	NULL
1170	MENSTRUACION IRREGULAR	6264  	NULL
1171	DOLOR ABDOMEN OTRO	78909 	NULL
1172	HEMOTORAX TRAUMATICO ABIERTO	8603  	NULL
1173	ESTENOSIS URETRA EN ENF INFECCIOSA COC	59801 	NULL
1174	HERNIA ABDOMEN SIN OBSTRUCCION NI GANGRENA OTRA	553   	NULL
1175	SACROILIITIS NCOC	7202  	NULL
1176	PARADA RESPIRATORIA	7991  	NULL
1177	DEHISCENCIA ANTIGUA LIGAMENTO COLATERAL MEDIAL	71782 	NULL
1178	ULCERA PEPTICA NO ESPECIFICADO AGUDA CON HEMORRAGIA Y PERFORACION	5332  	NULL
1179	COLESTEROLOSIS VESICULA BILIAR	5756  	NULL
1180	ANOMALIA CONGENITA PARED ABDOMEN	7567  	NULL
1181	DESARROLLO SEXUAL Y PUBERTAD PRECOZ	2591  	NULL
1182	ENFERMEDAD VASCULAR ORGANO GENITAL MASCULINO	60883 	NULL
1183	NO UNION FRACTURA	73382 	NULL
1184	POLIARTROPATIA INFLAMATORIA NO ESPECIFICADO	7149  	NULL
1185	HIPOTIROIDISMO CONGENITO	243   	NULL
1186	RETINOPATIA DIABETICA PROLIFERANTE	36202 	NULL
1187	OBSTRUCCION CUELLO VEJIGA	5960  	NULL
1188	DESNUTRICION GRADO MODERADO	2630  	NULL
1189	FRACTURA ESCAPULA	811   	NULL
1190	HEMANGIOMA INTRAABDOMINAL	22804 	NULL
1191	QUISTE SOLITARIO MAMA	6100  	NULL
1192	SUSCEPTIBILIDAD GENETICA NEOPLASIA MALIGNA MAMA	V8401 	NULL
1193	HEMORRAGIA ESOFAGO	53082 	NULL
1194	FRACTURA CERRADA TARSO OTRA Y METATARSIANO	8252  	NULL
1195	PERITONITIS PELVIS AGUDA Y NO ESPECIFICADO	6145  	NULL
1196	AMENORREA	6260  	NULL
1197	LUXACION CONGENITA CADERA BILATERAL	75431 	NULL
1198	ESTENOSIS ESPINAL SALVO CERVICAL TORACICA	72401 	NULL
1199	HEMIPLEJIA Y HEMIPARESIA	342   	NULL
1200	OSTEOARTROSIS GENERALIZADA NO ESPECIFICADO	71500 	NULL
1201	EMBOLIA ARTERIA NO ESPECIFICADO	4449  	NULL
1202	SINTOMA CABEZA Y CUELLO	784   	NULL
1203	ULCERA PIEL POR AMEBA	0066  	NULL
1204	HERPES SIMPLEX	054   	NULL
1205	TENDINITIS INSERCION PERIFERICA	726   	NULL
1206	EPILEPSIA PARCIAL CONTINUA	3457  	NULL
1207	ESQUIZOFRENIA PARANOIDE SUBCRONICA CON EXACERBACION AGUDA	29533 	NULL
1208	HERIDA DEDO PIE	893   	NULL
1209	MIGRAÑA VARIANTE	3462  	NULL
1210	CUERPO EXTRAÑO OIDO EXTERNO	931   	NULL
1211	PLEURESIA CON DERRAME Y CAUSA BACTERIANA NO TUBERCULOSA	5111  	NULL
1212	TOS	7862  	NULL
1213	CALCULO URINARIO NO ESPECIFICADO	5929  	NULL
1214	HERNIA INGUINAL SIN OBSTRUCCION BILATERAL NO ESPECIFICADO	55092 	NULL
1215	FRACTURA CERRADA METACARPIANO	8150  	NULL
1216	ANOMALIA RESPIRATORIA NO ESPECIFICADO	78600 	NULL
1217	LESION VASO SANGUINEO DIGITAL	9035  	NULL
1218	MELIOIDOSIS	025   	NULL
1219	SINTOMA APARATO URINARIO	788   	NULL
1220	HERIDA MIEMBRO INFERIOR MULTIPLE Y NO ESPECIFICADO	894   	NULL
1221	PURPURA ALERGICA	2870  	NULL
1222	BOCIO MULTINODULAR TOXICO	2422  	NULL
1223	DESPROPORCION FETOPELVICA NO ESPECIFICADO	65340 	NULL
1224	LESION SUPERFICIAL DEDO MANO	915   	NULL
1225	FIBRILACION Y ALETEO VENTRICULO	4274  	NULL
1226	HERIDA CUERO CABELLUDO NO COMPLICADA	8730  	NULL
1227	SIFILIS CONGENITA	090   	NULL
1228	COR PULMONALE AGUDO	4150  	NULL
1229	ARTRITIS POSTDISENTERICA HOMBRO	71131 	NULL
1230	NEOPLASIA BENIGNA VEJIGA	2233  	NULL
1231	VERTIGO PERIFERICO OTRO	38619 	NULL
1232	FIEBRE FARINGOCONJUNTIVAL	0772  	NULL
1233	ANOMALIA CONGENITA OVARIO	7520  	NULL
1234	GLAUCOMA ANGULO CERRADO PRIMARIO	3652  	NULL
1235	ESPONDILITIS ANQUILOSANTE Y ESPONDILITIS INFLAMATORIA	720   	NULL
1236	LESION SUPERFICIAL MIEMBRO INFERIOR SALVO PIE	916   	NULL
1237	CISTITIS OTRA	5958  	NULL
1238	ENFERMEDAD HIGADO OTRO	573   	NULL
1239	NEOPLASIA MALIGNA ORGANO DIGESTIVO E INTRAABDOMINAL NO ESPECIFICADO	1599  	NULL
1240	NEURALGIA TRIGEMINO	3501  	NULL
1241	ANOMALIA CONGENITA INTESTINO OTRA	7515  	NULL
1242	CONTUSION TRONCO MULTIPLE	9228  	NULL
1243	AMPOLLA PIE Y DEDO PIE CON INFECCION	9173  	NULL
1244	ESPOLON CALCANEO	72673 	NULL
1245	NEOPLASIA BENIGNA LARINGE	2121  	NULL
1246	CONTUSION RODILLA	92411 	NULL
1247	FIEBRE ESCARLATINA	0341  	NULL
1248	EFECTO TARDIO LESION TENDON	9058  	NULL
1249	ENFERMEDAD ORBITA	376   	NULL
1250	TRAUMATISMOS DE CABEZA INCLUYE TRAUMATISMO DE ÁREA DE ARTICULACIÓN TEMPOROMANDIBULAR, CAVIDAD BUCAL,DIENTE,LENGUA,MANDÍ.	S09   	NULL
1251	EPICONDILITIS LATERAL	72632 	NULL
1252	ENDOMETRIOSIS TROMPA DE FALOPIO	6172  	NULL
1253	EPILEPSIA PARCIAL SIN DETERIORO CONOCIMIENTO	3455  	NULL
1254	TRASTORNO ELECTROLITICO Y OSMOTICO OTRO	2769  	NULL
1255	FRACTURA ABIERTA MANO MULTIPLE	8171  	NULL
1256	ENFERMEDAD PULMON OTRA	518   	NULL
1257	TRAQUEITIS AGUDA	4641  	NULL
1258	FRACTURA CERRADA PERONE EXTREMO SUPERIOR	82301 	NULL
1259	MALESTAR Y FATIGA	7807  	NULL
1260	TRAUMATISMO RODILLA,PIERNA,TOBILLO Y PIE OTRO Y NO ESPECIFICADO	9597  	NULL
1261	LESION PLEXO BRAQUIAL	9534  	NULL
1262	EXAMEN SEGUIMIENTO TRAS RADIOTERAPIA	V671  	NULL
1263	DEFECTO COAGULACION	286   	NULL
1264	HERIDA CODO,ANTEBRAZO O MUÑECA	881   	NULL
1265	QUEMADURA SEGUNDO GRADO MULTIPLE	9462  	NULL
1266	HIPERSENSIBILIDAD VIA AEREA SUPERIOR	4788  	NULL
1267	UÑA ENCARNADA	7030  	NULL
1268	LUXACION RECURRENTE HOMBRO	71831 	NULL
1269	CONTUSION PARED ABDOMEN	9222  	NULL
1270	SINDROME RESPUESTA INFLAMATORIA SISTEMICO NO ESPECIFICADO	99590 	NULL
1271	POLINEUROPATIA PROGRESIVA IDIOPATICA	3564  	NULL
1272	ADENOMIOMA	M89320	NULL
1273	ERITEMA TOXICO	6950  	NULL
1274	SIFILIS PRECOZ SINTOMATICA	091   	NULL
1275	ESTADO CONFUSIONAL SUBAGUDO	2931  	NULL
1276	IMPETIGO	684   	NULL
1277	DEFORMIDAD CALCANEO ADQUIRIDA OTRA	73676 	NULL
1278	BULTO O MASA ABDOMEN O PELVIS	7893  	NULL
1279	NEOPLASIA MALIGNA ESOFAGO ABDOMINAL	1502  	NULL
1280	ANOMALIA CONGENITA MAMA OTRA	7576  	NULL
1281	NEOPLASIA BENIGNA RECTO Y CANAL ANO	2114  	NULL
1282	LEUCEMIA AGUDA SAI	M98013	NULL
1283	CRIPTORQUIDIA	75251 	NULL
1284	FRACTURA ABIERTA FEMUR EXTREMO INFERIOR	8213  	NULL
1285	TRASTORNO DEPRESIVO UNICO	2962  	NULL
1286	LEUCEMIA LINFOIDE	204   	NULL
1287	PSICOSIS NO ESPECIFICADO	2989  	NULL
1288	ATEROSCLEROSIS CORONARIA	4140  	NULL
1289	TROMBOSIS CEREBRO CON INFARTO CEREBRO	43401 	NULL
1290	LINFOMA OTRO Y NO ESPECIFICADO BAZO	20287 	NULL
1291	TRASTORNO FUNCIONAL DIGESTIVO POSTOPERATORIO OTRO	5644  	NULL
1292	PRURIGO	6982  	NULL
1293	LEUCEMIA MIELOIDE CRONICA	2051  	NULL
1294	ARTROPATIA TRAUMATICA CADERA	71615 	NULL
1295	DEGENERACION DISCO INTERVERTEBRAL LUMBAR O LUMBOSACRAL	72252 	NULL
1296	SUPERVISION BEBE O NIÑO SANO	V20   	NULL
1297	HERNIA VENTRAL SIN OBSTRUCCION NI GANGRENA NO ESPECIFICADO	55320 	NULL
1298	TRASTORNO DEPRESIVO NCOC	311   	NULL
1299	LINFADENITIS AGUDA	683   	NULL
1300	ENFERMEDAD CARDIACA REUMATICA AGUDA NO ESPECIFICADO	3919  	NULL
1301	PERDIDA AUDICION	389   	NULL
1302	NECESIDAD QUIMIOTERAPIA PROFILACTICA	V073  	NULL
1303	RINITIS ALERGICA DEBIDA A POLEN	4770  	NULL
1304	HIPERLIPIDEMIA Y LIPIDEMIA OTRA	2724  	NULL
1305	CALCULO DIVERTICULAR VEJIGA	5940  	NULL
1306	BRONCOESPASMO POR EJERCICIO	49381 	NULL
1307	PARALISIS CEREBRAL INFANTIL	343   	NULL
1308	APLASTAMIENTO TOBILLO Y PIE SALVO DEDO	9282  	NULL
1309	NEOPLASIA NATURALEZA NO ESPECIFICADO ORGANO GENITOURINARIO OTRO	2395  	NULL
1310	OBSTRUCCION VESICULA BILIAR	5752  	NULL
1311	ADENOCARCINOMA METASTATICO SAI	M81406	NULL
1312	BOCIO UNINODULAR NO TOXICO	2410  	NULL
1313	SINUSITIS CRONICA FRONTAL	4731  	NULL
1314	FETO Y NEONATO AFECTADO POR PRESENTACION NALGAS	7630  	NULL
1315	FRACTURA ABIERTA RADIO Y CUBITO EXTREMO INFERIOR	8135  	NULL
1316	OTROS SITIOS ESPECIFICADOS(FU)	1988  	NULL
1317	LUXACION PIE	838   	NULL
1318	ENFERMEDAD DIFUSA TEJIDO CONECTIVO	710   	NULL
1319	ECTOPIA Y EROSION CERVIX	6220  	NULL
1320	INFECCION VIA AEREA SUPERIOR AGUDA OTRA	4658  	NULL
1321	INFECCION POR SHIGELLA	004   	NULL
1322	ANOMALIA CONGENITA UTERO OTRA	7523  	NULL
1323	NEOPLASIA MALIGNA COLON TRANSVERSO	1531  	NULL
1324	ESTENOSIS HIPERTROFICA PILORO CONGENITA	7505  	NULL
1325	FISTULA TRACTO GENITAL FEMENINO	619   	NULL
1326	ESTADO EMBARAZO NO ESPECIFICADO	V222  	NULL
1327	CUIDADO POSTPARTO RUTINARIO	V242  	NULL
1328	HERPANGINA	0740  	NULL
1329	DOLOR PRECORDIAL	78651 	NULL
1330	TOS FERINA	033   	NULL
1331	POLINEUROPATIA EN DIABETES	3572  	NULL
1332	INFECCION POR TRYPANOSOMA	086   	NULL
1333	ENFERMEDAD RESPIRATORIA POR AGENTE EXTERNO OTRO	5088  	NULL
1334	NEOPLASIA MALIGNA TEJIDO CONECTIVO Y OTRO BLANDO	171   	NULL
1335	ANOMALIA GENETICA LEUCOCITO	2882  	NULL
1336	INCONTINENCIA FECAL	7876  	NULL
1337	CATARATA SECUNDARIA A OTRA ENF OJO	3663  	NULL
1338	SINUSITIS CRONICA NO ESPECIFICADO	4739  	NULL
1339	CARCINOMA IN SITU ESOFAGO	2301  	NULL
1340	ABORTO NO ESPECIFICADO	637   	NULL
1341	FRACTURA CERRADA METACARPIANO BASE PULGAR	81501 	NULL
1342	FRACTURA ABIERTA TRIMALEOLAR	8247  	NULL
1343	CONTRACTURA ARTICULACION RODILLA	71846 	NULL
1344	CONJUNTIVITIS OTRA Y NO ESPECIFICADO	3723  	NULL
1345	INFECCION POR ESTAFILOCOCO INTESTINO	00841 	NULL
1346	GANGLION ARTICULAR	72741 	NULL
1347	ENFERMEDAD DISCO INTERVERTEBRAL CON MIELOPATIA CERVICAL	72271 	NULL
1348	TRASTORNO CONDUCCION CORAZON OTRO	4268  	NULL
1349	ASMA NO ESPECIFICADO CON EXACERBACION AGUDA	49392 	NULL
1350	HIPERTENSION ESENCIAL EMBARAZO,PARTO Y PUERPERIO	6420  	NULL
1351	SINDROME RESPUESTA INFLAMATORIA SISTEMICO POR INFECCION SIN DISFUNCION	99591 	NULL
1352	ESGUINCE COLATERAL EXTERNO RODILLA	8440  	NULL
1353	LINFEDEMA OTRO	4571  	NULL
1354	CISTITIS POR IRRADIACION	59582 	NULL
1355	ENFERMEDAD CERVIX NO INFLAMATORIA	622   	NULL
1356	INICIO PRECOZ PARTO	6442  	NULL
1357	NEOPLASIA EVOLUCION INCIERTA GLANDULA ENDOCRINA OTRA	2374  	NULL
1358	DISFUNCION TESTICULO	257   	NULL
1359	TRASTORNO CERVICAL OTRO OTRO	7238  	NULL
1360	PROCEDIMIENTO NO REALIZADO	V64   	NULL
1361	NEOPLASIA BENIGNA UTERO OTRA	219   	NULL
1362	HEMIPLEJIA Y HEMIPARESIA OTRA	3428  	NULL
1363	SINTOMA APARATO RESPIRATORIO Y TORAX	786   	NULL
1364	NEVUS NO NEOPLASICO	4481  	NULL
1365	HEMATOMA VAGINA	6236  	NULL
1366	ESGUINCE COLATERAL MEDIANO RODILLA	8441  	NULL
1367	CALAMBRE POR CALOR	9922  	NULL
1368	FALLO RENAL AGUDO NO ESPECIFICADO	5849  	NULL
1369	DEFORMIDAD CADERA ADQUIRIDA OTRA	73639 	NULL
1370	HIPERTENSION ESENCIAL MALIGNA	4010  	NULL
1371	ENFERMEDAD GLOBULO BLANCO	288   	NULL
1372	NEOPLASIA MALIGNA CEREBRO LOBULO OCCIPITAL	1914  	NULL
1373	DIABETES MELLITUS CON ALTERACION NEUROLOGICA	2506  	NULL
1374	QUISTE SINOVIAL NO ESPECIFICADO	72740 	NULL
1375	HIDROCEFALIA CONGENITA	7423  	NULL
1376	FRACTURA CERRADA HUESO PIRAMIDAL	81403 	NULL
1377	SINDROME HEMOLITICO UREMICO	28311 	NULL
1378	MIGRAÑA COMUN	3461  	NULL
1379	FRACTURA CERRADA ROTULA	8220  	NULL
1380	PROTEINURIA	7910  	NULL
1381	PARTO PROLONGADO SEGUNDA FASE	6622  	NULL
1382	ENTESOPATIA NO ESPECIFICADO	7269  	NULL
1383	ABSCESO Y CELULITIS BRAZO Y ANTEBRAZO	6823  	NULL
1384	ESCLEROSIS TUBEROSA	7595  	NULL
1385	ENFERMEDAD CARDIACA MAL DEFINIDA OTRA	4298  	NULL
1386	NEOPLASIA BENIGNA HUESO Y CARTILAGO PIE	2138  	NULL
1387	ESQUISTOSOMIASIS VEJIGA	1200  	NULL
1388	NEOPLASIA BENIGNA HUESO Y CARTILAGO CRANEO Y CARA	2130  	NULL
1389	SINDROME POSTCOLECISTECTOMIA	5760  	NULL
1390	ULCERA ESTOMAGO AGUDA CON HEMORRAGIA	5310  	NULL
1391	ESTENOSIS ESTRECHO INFERIOR PELVIS	6533  	NULL
1392	APENDICITIS NO ESPECIFICADO	541   	NULL
1393	NEOPLASIA MALIGNA COLON OTRA	1538  	NULL
1394	CARIES DENTAL	5210  	NULL
1395	CONTUSION MIEMBRO SUPERIOR	923   	NULL
1396	FRACTURA CERRADA COSTILLA	8070  	NULL
1397	SEMANAS GESTACION 29-30 SEMANAS COMPLETAS	76525 	NULL
1398	GOTA	274   	NULL
1399	SALPINGITIS Y OOFORITIS AGUDA	6140  	NULL
1400	HERIDA QUIRURGICA NO CURADA	99883 	NULL
1401	ESGUINCE INFRAESPINOSO	8403  	NULL
1402	ENFERMEDAD NERVIO CUBITAL	3542  	NULL
1403	GASTRITIS AGUDA CON HEMORRAGIA	53501 	NULL
1404	INFLAMACION UTERO AGUDA	6150  	NULL
1405	HIPERTENSION TRANSITORIA EMBARAZO	6423  	NULL
1406	MALPOSICION FETO	652   	NULL
1407	VIREMIA NO ESPECIFICADO	7908  	NULL
1408	DOLOR ABDOMEN GENERALIZADO	78907 	NULL
1409	ESGUINCE RODILLA Y PIERNA NO ESPECIFICADO	8449  	NULL
1410	DESHIDRATACION NEONATO	7755  	NULL
1411	ANEMIA OTRA Y NO ESPECIFICADO	285   	NULL
1412	PERFORACION OJO CON CUERPO EXTRAÑO MAGNETICO	8715  	NULL
1413	HERIDA CABEZA NO ESPECIFICADO COMPLICADA	8739  	NULL
1414	EPILEPSIA NO ESPECIFICADO	3459  	NULL
1415	PERDIDA REPENTINA AUDICION NO ESPECIFICADO	3882  	NULL
1416	CONDROCALCINOSIS NO ESPECIFICADO	7123  	NULL
1417	FRACTURA CERRADA TIBIA CON PERONE DIAFISIS	82322 	NULL
1418	CUERPO EXTRAÑO BOCA,ESOFAGO Y ESTOMAGO	935   	NULL
1419	ARTROPATIA GOTOSA	2740  	NULL
1420	PENFIGOIDE BENIGNO MEMBRANA MUCOSA SIN COMPLICACION OJO	69460 	NULL
1421	LACERACION Y CONTUSION CEREBRO	851   	NULL
1422	ORZUELO	3731  	NULL
1423	DERRAME ARTICULACION RODILLA	71906 	NULL
1424	OTRA INTOXICACIÓN ALIMENTARIA BACTERIANA(FU)	0058  	NULL
1425	ESPINA BIFIDA SIN HIDROCEFALIA	7419  	NULL
1426	NEOPLASIA EVOLUCION INCIERTA GLANDULA SALIVAL MAYOR	2350  	NULL
1427	NEOPLASIA NATURALEZA NO ESPECIFICADO VEJIGA	2394  	NULL
1428	ASMA EXTRINSECA	4930  	NULL
1429	NEUMONITIS POR SOLIDO Y LIQUIDO	507   	NULL
1430	LESION NO ALOPATICA MIEMBRO SUPERIOR	7397  	NULL
1431	ENVENENAMIENTO POR REGULADOR RITMO CORAZON	9720  	NULL
1432	PERDIDA DENTAL POR ACCIDENTE, EXTRACCION O ENF PERIODONTAL	5251  	NULL
1433	PARTO PRECIPITADO	6613  	NULL
1434	OSTEOARTROSIS NO ESPECIFICADO HOMBRO	71591 	NULL
1435	ABSCESO Y CELULITIS DEDO PIE	6811  	NULL
1436	MASTOPATIA QUISTICA DIFUSA	6101  	NULL
1437	NEOPLASIA BENIGNA MEDULA ESPINAL	2253  	NULL
1438	OBSTRUCCION URETER OTRA	5934  	NULL
1439	HIPERTENSION EMBARAZO OTRA	6422  	NULL
1440	RIÑON CONTRAIDO IDIOPATICO	589   	NULL
1441	DISINERGIA ESFINTER DETRUSOR VEJIGA	59655 	NULL
1442	LESION NERVIO MIEMBRO SUPERIOR Y CINTURA ESCAPULAR NO ESPECIFICADO	9559  	NULL
1443	ENFERMEDAD CEREBROVASCULAR OTRA	4378  	NULL
1444	RESULTADO ANORMAL ESTUDIO FUNCIONAL HIGADO	7948  	NULL
1445	CONJUNTIVITIS CRONICA	3721  	NULL
1446	FISTULA ESTOMAGO O DUODENO	5374  	NULL
1447	ANOMALIA CONGENITA VESICULA BILIAR,VIA BILIAR E HIGADO	7516  	NULL
1448	SALPINGITIS Y OOFORITIS NO ESPECIFICADO	6142  	NULL
1449	LIPOMA OTRO	2148  	NULL
1450	BRONQUITIS OBSTRUCTIVA CRONICA CON BRONQUITIS AGUDA	49122 	NULL
1451	DOLOR TORAX NO ESPECIFICADO	78650 	NULL
1452	LUXACION CERRADA HOMBRO	8310  	NULL
1453	NEOPLASIA EVOLUCION INCIERTA PROSTATA	2365  	NULL
1454	FIEBRE MATERNA PARTO	6592  	NULL
1455	NECROSIS ARTERIA	4475  	NULL
1456	MONONUCLEOSIS INFECCIOSA	075   	NULL
1457	PERTURBACION SUEÑO	7805  	NULL
1458	SINDROME VERTIGINOSO Y TRASTORNO LABERINTO NO ESPECIFICADO	3869  	NULL
1459	FLEBITIS Y TROMBOSIS EMBARAZO OTRA	6715  	NULL
1460	ESGUINCE COSTAL	8483  	NULL
1461	OBSTRUCCION DUODENO OTRA	5373  	NULL
1462	CONTUSION TRONCO	922   	NULL
1463	CUERPO EXTRAÑO ESTOMAGO	9352  	NULL
1464	FIBROSIS QUISTICA	2770  	NULL
1465	OSTEOCONDROSIS JUVENIL PIE	7325  	NULL
1466	NEOPLASIA MALIGNA ESTOMAGO CUERPO	1514  	NULL
1467	EDEMA	7823  	NULL
1468	AGOTAMIENTO POR CALOR NO ESPECIFICADO	9925  	NULL
1469	HERIDA DEDO MANO CON AFECTACION TENDON	8832  	NULL
1470	HERNIA CRURAL SIN OBSTRUCCION BILATERAL NO ESPECIFICADO	55302 	NULL
1471	ANOMALIA CONGENITA VEJIGA Y URETRA OTRA	7538  	NULL
1472	DEGENERACION MACULA NO ESPECIFICADO	36250 	NULL
1473	INTENTO PARTO FALLIDO NO ESPECIFICADO	6606  	NULL
1474	LEUCEMIA TIPO CELULAR NO ESPECIFICADO	208   	NULL
1475	BLEFARITIS	3730  	NULL
1476	HIPERTENSION PULMONAR PRIMARIA	4160  	NULL
1477	LESION PLEXO LUMBOSACRO	9535  	NULL
1478	ACNE VARIOLIFORME	7060  	NULL
1479	ARTRITIS REUMATOIDE JUVENIL	7143  	NULL
1480	FRACTURA ABIERTA HUMERO EXTREMO SUPERIOR	8121  	NULL
1481	OTRAS(FU)	1218  	NULL
1482	FRACTURA CERRADA FEMUR PERTROCANTEREA TROCANTEREA NO ESPECIFICADO	82020 	NULL
1483	HERIDA CUERO CABELLUDO COMPLICADA	8731  	NULL
1484	APLASTAMIENTO MULTIPLE NCOC	9290  	NULL
1485	CARCINOMA IN SITU PIEL OTRO	2328  	NULL
1486	INFLAMACION CERVIX,VAGINA Y VULVA	616   	NULL
1487	SINTOMA PSICOPATOLOGICO NCOC	307   	NULL
1488	NEOPLASIA MALIGNA MENINGE ESPINAL	1923  	NULL
1489	ARTRITIS PIOGENICA RODILLA	71106 	NULL
1490	ABSCESO Y CELULITIS TRONCO	6822  	NULL
1491	CALCULO VEJIGA OTRO	5941  	NULL
1492	SINUSITIS CRONICA ETMOIDAL	4732  	NULL
1493	FRACTURA CERRADA DE PISO DE LA ORBITA	8026  	NULL
1494	CONVULSION OTRA	78039 	NULL
1495	KURU	0460  	NULL
1496	DEFECTO OBSTRUCTIVO PELVIS RIÑON Y URETER CONGENITO	7532  	NULL
1497	ANEMIA HEMOLITICA ADQUIRIDA	283   	NULL
1498	HEMORROIDES INTERNA TROMBOSADA	4551  	NULL
1499	OBSTRUCCION VENA RETINA CENTRAL	36235 	NULL
1500	FRACTURA CERRADA METATARSIANO	82525 	NULL
1501	OBSTRUCCION VASCULAR RETINA	3623  	NULL
1502	HIPERPLASIA ENDOMETRIO NO ESPECIFICADO	62130 	NULL
1503	CARCINOMA IN SITU ORGANO DIGESTIVO	230   	NULL
1504	TRASTORNO BIPOLAR MIXTO	2966  	NULL
1505	OSTEOARTROSIS NO ESPECIFICADO	7159  	NULL
1506	SINTOMA ABDOMEN Y PELVIS	789   	NULL
1507	AMPUTACION TRAUMATICA DEDO MANO OTRO	886   	NULL
1508	ENTESOPATIA CODO	7263  	NULL
1509	CISTITIS INTERSTICIAL CRONICA	5951  	NULL
1510	GLAUCOMA ANGULO ABIERTO PRIMARIO	36511 	NULL
1511	OTITIS MEDIA SUPURATIVA CRONICA NO ESPECIFICADO	3823  	NULL
1512	DISURIA	7881  	NULL
1513	ENFISEMA SUBCUTANEO TRAUMATICO	9587  	NULL
